YEAR,JPY,SEK,GBP,EUR,NIS,CAD,USD,USD_coefficient,日元,瑞典克朗,英镑,欧元,以色列新谢克尔,加拿大元,美金
1993,109.9338583,8.167544168,0.671831542,,2.963742889,1.319023505,1,1477.94,0.0635,0.8547,10.3907,,2.3554,5.2924,6.9808
1994,107.0674847,7.89951341,0.655985416,,2.958467537,1.319023505,1,1516.52,0.0652,0.8837,10.6417,,2.3596,5.2924,6.9808
1995,92.45243363,6.985123276,0.6296673,,3.056390565,1.373176262,1,1559.13,0.0904,1.1965,13.2732,,2.7345,6.0864,8.3577
1996,109.8546896,6.783034258,0.628272251,,3.187061664,1.358823529,1,1604.81,0.0757,1.226,13.2363,,2.6093,6.12,8.316
1997,121.1754386,7.45829209,0.60828722,,3.413955021,1.387899998,1,1642.37,0.0684,1.1113,13.6258,,2.4278,5.9719,8.2884
1998,130.3637795,7.952829282,0.600576047,0.867961918,3.942891165,1.491307716,1,1667.82,0.0635,1.0409,13.7836,9.5374,2.0995,5.5509,8.2781
1999,112.6548431,8.158877581,0.620060973,0.922791529,4.113169954,1.486356109,1,1704.35,0.0733,1.0121,13.3174,8.9485,2.0076,5.5556,8.2576
2000,107.928292,9.352728505,0.660093455,1.087335155,4.086941496,1.49626751,1,1761.96,0.0767,0.8851,12.5408,7.6132,2.0255,5.5325,8.2781
2001,122.6903704,10.16022574,0.697145455,1.119256136,4.136663337,1.54825201,1,1811.82,0.0675,0.8151,11.8793,7.3992,2.002,5.349,8.2816
2002,125.2889561,9.717906595,0.6661733,1.05879796,4.697447533,1.561505393,1,1840.63,0.0661,0.8522,12.4316,7.8217,1.763,5.3036,8.2816
2003,114.3227586,8.021291009,0.60289796,0.881060453,4.604666667,1.436389789,1,1882.41,0.0725,1.0333,13.7476,9.4073,1.8,5.7703,8.2884
2004,108.383812,7.181212698,0.54279774,0.791032262,4.472445187,1.288081422,1,1932.86,0.0766,1.1561,15.2952,10.4954,1.8563,6.4454,8.3022
2005,11.15497954,7.44410051,0.551102664,0.796970642,4.508491398,1.207270258,1,1998.38,0.733,1.0984,14.8368,10.2596,1.8136,6.7728,8.1766
2006,114.8265896,7.360815192,0.541520428,0.796112614,4.440346465,1.135483502,1,2063.13,0.0692,1.0795,14.6735,9.981,1.7895,6.9979,7.946
2007,116.5084746,6.685587975,0.501319366,0.719242842,4.092552501,1.041199636,1,2121.93,0.0649,1.131,15.083,10.513,1.8476,7.2622,7.5614
2008,102.1664255,7.300620476,0.597464476,0.727999258,3.704906849,1.138734757,1,2179.22,0.0691,0.967,11.8161,9.6974,1.9055,6.1996,7.0597
2009,93.56908345,7.997077049,0.658138327,0.729200426,3.967919712,1.157656895,1,2238.06,0.0731,0.8553,10.3928,9.38,1.7238,5.9084,6.8399
2010,86.91472868,7.261658031,0.643387944,0.750753298,3.730494094,1.019844458,1,2298.49,0.0774,0.9264,10.4559,8.9606,1.8033,6.5963,6.7272
2011,80.68656716,6.542154094,0.628348928,0.730137649,3.61928141,1.006157425,1,2360.55,0.0804,0.9916,10.3242,8.8849,1.7924,6.4475,6.4872
2012,81.06940874,6.854162139,0.631857343,0.782725242,3.86778684,0.999065435,1,2424.28,0.0778,0.9202,9.982,8.058,1.6307,6.3131,6.3072
2013,95.85185185,6.522314397,0.639874728,0.75342067,3.626978102,1.029503414,1,2489.74,0.0648,0.9523,9.7069,8.244,1.7125,6.0332,6.2112
2014,103.0625,6.48522534,0.606834887,0.732158929,3.493644068,1.088779043,1,2556.96,0.0592,0.9408,10.0543,8.3333,1.7464,5.6038,6.1013
